package, benchmark, threads, input-size, branch-instructions, branch-miss-percentage, L3-cache-misses, L3-cache-miss-percentage, L3-cache-references, cpu-cycles, total-instructions, IPC, cpu-clock, page-faults, L1-data-cache-loads, L1-instruction-cache-load-misses , LLC-load-misses, Exe-time, Speedup,u1,u2
parsec,bodytrack,2,simsmall,570498607,223.682,17633236,3.09,15289826,14.628,104525372,5622584512,3225757813,0.57,2550.49,139040,1418713260,49132984,14339356,0.34,1.355882353
parsec,bodytrack,3,simsmall,532022930,207.847,17413243,3.27,15542916,14.696,105761807,5642499683,2988438064,0.53,2559.68,139292,1324958489,48412367,15315045,0.239,1.928870293
parsec,bodytrack,4,simsmall,508276631,200.677,17327955,3.41,16058694,15.331,104745608,5584136946,3060439422,0.55,2532.81,139284,1330369928,47835700,15636667,0.221,2.085972851
parsec,bodytrack,5,simsmall,507333927,204.23,17472095,3.44,15784233,15.29,103230376,5484757115,3002708299,0.55,2484.13,139275,1301998085,49960704,15470585,0.21,2.195238095
parsec,bodytrack,6,simsmall,539974671,206.083,17713392,3.28,15957506,14.718,108421550,5775894804,3036635148,0.53,2620.18,139433,1359113155,50503084,15510806,0.174,2.649425287
parsec,bodytrack,7,simsmall,501762966,191.71,17942311,3.58,16608855,15.405,107817828,5783922808,3085488181,0.53,2617.31,139243,1335008277,50840134,15997617,0.189,2.439153439
parsec,bodytrack,8,simsmall,610490950,225.964,17663627,2.89,16079278,15.212,105703028,5923970639,3178005790,0.54,2701.71,139352,1439778839,50757096,16149731,0.176,2.619318182
parsec,bodytrack,9,simsmall,515967819,202.204,17676702,3.43,16186761,15.435,104867669,5574809398,3098309873,0.56,2551.72,139314,1345820524,48376316,15667317,0.169,2.727810651
parsec,bodytrack,10,simsmall,542790686,210.093,17576616,3.24,17437205,15.834,110127132,5694899272,3084353803,0.54,2583.58,139372,1359118124,48606850,15438574,0.204,2.259803922
parsec,bodytrack,11,simsmall,510642126,205.208,18225779,3.57,16181961,15.064,107420917,5478947553,3078924496,0.56,2488.42,139303,1342519133,50410942,15515071,0.186,2.478494624
parsec,bodytrack,12,simsmall,501633304,195.499,17867912,3.56,16783289,15.645,107273595,5648880237,3108286256,0.55,2565.91,139384,1341793956,50889458,16770102,0.184,2.505434783
parsec,bodytrack,13,simsmall,508038812,198.637,17420044,3.43,15876031,14.906,106510030,5610293049,2954028751,0.53,2557.62,139708,1293895084,51045796,15985183,0.177,2.604519774
parsec,bodytrack,14,simsmall,518130345,204.038,17430261,3.36,16772171,15.433,108674954,5575935034,3034747034,0.54,2539.39,139429,1355579199,48892334,14851800,0.169,2.727810651
